#,NAME,PX,ELONG,ELAT,PMELONG,PMELAT,Gl,Gb,ZZ,XX,YY,ASSOC,DISC.,PSR,NGLT,AGE,
,,(mas),(deg),(deg),(mas/yr),(mas/yr),(deg),(deg),(kpc),(kpc),(kpc),,DATE,TYPE,,(Yr),
523,B1112-60,*,208.69,-57.209,*,*,291.443,-0.322,-0.03,-5.1,6.5,*,1992,*,*,3.03E+05,
524,B1112+50,*,146.114,41.248,*,*,154.408,60.365,0.8,0.2,8.91,*,1973,*,*,1.05E+07,
525,J1115-6052,*,208.744,-56.98,*,*,291.564,-0.126,0,-2.03,7.7,*,2001,*,*,5.69E+05,
526,J1116-2444,*,180.573,-26.899,*,*,276.971,33.287,0.47,-0.71,8.41,*,2018,*,*,1.40E+07,
527,B1114-41,*,190.282,-41.492,*,*,284.451,18.069,0.09,-0.26,8.43,*,1978,*,*,1.88E+06,
528,J1117-6154,*,210.357,-57.565,*,*,292.102,-1.028,-0.07,-3.69,7,*,2003,*,*,6.40E+05,
529,J1117-6447,*,214.559,-59.452,*,*,293.167,-3.719,-0.18,-2.52,7.42,*,2003,*,*,7.63E+07,
530,J1119-6127,*,210.041,-57.102,*,*,292.151,-0.537,-0.08,-7.78,5.33,SNR:G292.2-0.5[cgk+01],2000,HE[gkc+07],3,1.61E+03,
531,B1118-79,*,243.886,-66.204,*,*,298.705,-17.498,-0.24,-0.68,8.13,*,1978,*,*,9.85E+06,
532,J1120-3618,*,187.772,-36.757,*,*,283.125,23.036,0.37,-0.85,8.3,*,2013,*,*,*,
533,B1119-54,*,202.504,-51.97,*,*,290.082,5.873,0.24,-2.17,7.71,*,1978,*,*,3.05E+06,
534,J1123-4844,*,197.273,-47.018,*,*,288.295,11.61,0.37,-1.73,7.93,*,1998,*,*,5.93E+07,
535,J1123-6102,*,210.165,-56.419,*,*,292.509,0.049,0,-3.22,7.16,*,2001,*,*,1.57E+06,
536,J1123-6259,*,212.796,-57.747,*,*,293.183,-1.783,-0.07,-2.01,7.64,*,1998,*,1,8.19E+05,
537,J1123-6651,*,218.547,-60.253,*,*,294.469,-5.442,-0.16,-1.52,7.81,*,1998,*,*,1.34E+06,
538,J1124-3653,*,188.379,-36.13,*,*,283.742,23.592,0.42,-0.93,8.27,GRS:2FGL_J1124.2-3654[naa+12],2011,HE,*,*,
539,J1124-5638,*,205.172,-53.099,*,*,291.209,4.246,0.2,-2.45,7.55,*,2003,*,*,3.27E+08,
540,J1124-5916,*,208.128,-55.074,*,*,292.038,1.752,0.15,-4.63,6.62,SNR:G292.0+1.8&GRS:2FGL_J1124.6-5913[naa,2002,HE[hsp+03],1,2.85E+03,
541,J1124-6421,*,214.879,-58.572,*,*,293.747,-3.036,-0.14,-2.47,7.41,*,2003,*,*,1.22E+07,
542,J1125-5825,*,207.304,-54.355,*,*,291.893,2.602,0.08,-1.61,7.85,GRS:2FGL_J1125.0-5821[kjb+12],2010,HE,*,8.07E+08,
543,J1125-6014,*,209.504,-55.659,*,*,292.504,0.894,0.02,-0.91,8.12,GRS:[sbc+19],2004,HE[sbc+19],*,1.04E+10,
544,J1125+7819,11,115.629,62.452,16,23.6,128.289,37.895,0.54,0.55,8.93,*,2014,*,*,9.57E+09,
545,J1126-27,*,184.192,-28.516,*,*,280.682,31.537,0.23,-0.37,8.43,*,2015,RRAT,*,*,
546,J1126-38,*,190.509,-38.195,*,*,285.214,21.292,0.37,-0.91,8.25,*,2018,*,*,*,
547,B1124-60,*,210.498,-56.059,*,*,292.834,0.292,0.01,-2.24,7.56,*,1992,*,*,1.14E+07,
548,J1126-6942,*,223.58,-61.727,*,*,295.631,-8.048,-0.17,-1.05,7.99,*,1998,*,*,2.78E+06,
549,J1128-6219,*,212.603,-56.885,*,*,293.495,-0.972,-0.13,-6.79,5.55,*,2003,*,*,7.43E+08,
550,J1129-53,*,202.748,-50.284,*,*,290.798,7.41,0.19,-1.35,7.99,*,2010,RRAT,*,*,
551,J1130-5826,*,208.068,-53.966,*,*,292.46,2.778,0.12,-2.22,7.58,*,2003,*,*,1.62E+08,
552,J1130-5925,*,209.204,-54.705,*,*,292.755,1.83,0.08,-2.2,7.58,*,2001,*,*,1.13E+07,
553,J1130-6807,*,221.359,-60.508,*,*,295.484,-6.431,-0.22,-1.77,7.66,*,1998,*,*,8.84E+06,
554,J1132-4700,*,197.651,-44.74,*,*,289.177,13.736,0.64,-2.47,7.64,*,2012,*,*,6.64E+06,
555,J1132-5627,*,206.237,-52.302,*,*,292.11,4.741,0.24,-2.69,7.41,*,2003,*,*,4.08E+07,
556,B1131-62,*,214.04,-56.828,*,*,294.213,-1.296,-0.17,-6.79,5.45,*,1992,*,*,3.59E+07,
557,J1135-49,*,200.324,-46.386,*,*,290.526,11.619,0.43,-1.95,7.77,*,2011,RRAT,*,*,
558,J1135-6055,*,211.755,-55.371,*,*,293.775,0.589,0,0,8.5,GRS:3FGL_J1135.2-6054[aaa+15],2011,NRAD,*,2.30E+04,
559,B1133+16,2.69,168.151,12.165,*,*,241.895,69.196,0.35,-0.12,8.56,XRS:[kpg06a],1968,*,*,5.04E+06,
560,B1133-55,*,205.822,-51.164,*,*,292.308,5.89,0.16,-1.4,7.93,*,1978,*,*,7.02E+05,
561,J1137-6700,*,220.425,-59.295,*,*,295.793,-5.167,-0.23,-2.33,7.37,*,1998,*,*,1.23E+08,
562,J1137+7528,*,121.459,61.419,*,*,128.999,40.772,2.5,2.25,10.33,GRS:3FGL_J1136.1+7523[san16],2016,HE,*,1.23E+10,
563,J1138-6207,*,213.775,-55.957,*,*,294.506,-0.463,-0.06,-6.55,5.51,*,2001,*,*,1.49E+05,
564,J1141-3107,*,189.455,-30.126,*,*,285.746,29.393,0.38,-0.65,8.32,*,1996,*,*,4.35E+06,
565,J1141-3322,*,190.732,-32.088,*,*,286.586,27.272,0.85,-1.58,8.03,*,1998,*,1,9.96E+06,
566,J1141-6545,*,219.024,-58.212,*,*,295.791,-3.863,-0.67,-8.98,4.16,OPT:[abw+11],2000,*,1,1.45E+06,
567,J1142+0119,*,175.535,-0.488,*,*,267.542,59.4,1.87,-1.1,8.55,GRS:3FGL_J1142.9+0120[san16],2016,HE,*,5.36E+09,
568,J1142-6230,*,214.9,-55.846,*,*,295.11,-0.675,-0.04,-3.15,7.02,*,2001,*,*,1.13E+08,
569,J1143-5158,*,203.889,-47.787,*,*,292.383,9.492,0.4,-2.19,7.6,*,1996,*,*,1.54E+07,
570,J1143-5536,*,207.249,-50.672,*,*,293.334,5.993,0.23,-2.03,7.63,*,2012,*,*,2.24E+07,
571,J1144-6146,*,214.259,-55.193,*,*,295.116,0.073,0,-1.27,7.91,*,2001,*,*,*,
572,J1144-6217,*,214.808,-55.603,*,*,295.186,-0.438,-0.02,-2.39,7.38,*,2001,*,*,4.37E+05,
573,B1143-60,*,212.993,-54.146,*,*,294.977,1.343,0.04,-1.48,7.81,*,1978,*,*,2.42E+06,
574,J1147-66,*,220.123,-57.923,*,*,296.436,-3.944,-0.12,-1.6,7.7,*,2012,*,*,*,
575,J1148-5725,*,209.988,-51.617,*,*,294.507,4.418,0.16,-1.87,7.65,*,2006,*,*,5.08E+06,
576,J1148-6415,*,217.971,-56.616,*,*,296.177,-2.214,-0.09,-2.2,7.42,*,2003,*,*,1.90E+07,
577,J1151-6108,*,214.602,-54.122,*,*,295.814,0.909,0.04,-2,7.53,*,2015,*,*,1.57E+05,
578,J1152-5800,*,211.208,-51.753,*,*,295.126,3.961,0.15,-1.95,7.59,*,2004,*,*,2.21E+07,
579,J1152-6012,*,213.688,-53.353,*,*,295.716,1.843,0.04,-1.23,7.91,*,2003,*,*,8.93E+05,
580,J1153-21,*,187.245,-20.157,*,*,285.188,39.55,1.48,-1.73,8.03,*,2015,RRAT,*,*,
581,J1154-6250,*,216.968,-55.161,*,*,296.467,-0.681,-0.02,-1.22,7.89,*,2003,*,*,7.99E+06,
582,J1156-5707,*,210.957,-50.727,*,*,295.448,4.949,0.25,-2.56,7.28,*,2004,*,*,1.73E+05,
583,J1156-5909,*,213.086,-52.273,*,*,295.912,2.966,0.12,-2.09,7.48,*,1998,*,*,1.61E+07,
584,J1157-5112,*,205.808,-45.914,*,*,294.325,10.746,0.18,-0.86,8.11,*,2001,*,*,4.83E+09,
585,B1154-62,*,216.884,-54.626,*,*,296.705,-0.199,-0.01,-3.57,6.7,*,1969,*,*,1.61E+06,
586,J1159-6409,*,219.319,-55.718,*,*,297.295,-1.865,-0.07,-1.81,7.57,*,2003,*,*,4.41E+08,
587,J1159-7910,*,244.295,-64.325,*,*,300.412,-16.551,-0.46,-1.33,7.72,*,1998,*,*,2.95E+06,
588,J1201-6306,*,218.315,-54.81,*,*,297.309,-0.793,-0.13,-8.48,4.12,*,2003,*,*,2.64E+06,
589,B1159-58,*,213.227,-51.143,*,*,296.528,3.919,0.13,-1.69,7.66,*,1978,*,*,3.37E+06,
590,J1204-6843,*,226.125,-58.433,*,*,298.684,-6.237,-0.21,-1.67,7.59,*,2001,*,*,2.25E+07,
591,J1207-5050,*,207.393,-44.696,*,*,295.859,11.424,0.25,-1.12,7.96,GRS:2FGL_J1207.3-5055[naa+12],2012,HE,*,*,
592,J1208-6238,*,218.729,-53.924,*,*,297.99,-0.178,0,0,8.5,GRS:3FGL_J1208.4-6239[aaa+15],2016,NRAD,*,2.14E+03,
593,J1210-5226,*,209.157,-45.784,*,*,296.545,9.916,0.45,-2.29,7.36,SNR:G296.5+10.0&XRS:1E_1207.4-5209,2000,NRAD,*,3.02E+08,
594,J1210-5559,*,212.228,-48.65,*,*,297.136,6.421,0.27,-2.1,7.43,*,1996,*,*,6.11E+06,
595,J1210-6550,*,222.934,-56.045,*,*,298.774,-3.292,-0.05,-0.81,8.06,*,2004,*,*,1.56E+08,
596,J1211-6324,*,220.079,-54.253,*,*,298.47,-0.888,-0.12,-7.08,4.66,*,2003,*,*,2.67E+07,
597,J1214-5830,*,215.268,-50.312,*,*,298.065,4.012,0.13,-1.65,7.62,*,2003,*,*,2.70E+08,
598,J1215-5328,*,210.897,-46.203,*,*,297.459,9.009,0.51,-2.87,7.01,*,2001,*,*,8.77E+07,
599,J1216-50,*,208.741,-43.583,*,*,297.231,12.032,0.48,-2,7.47,*,2011,RRAT,*,*,
600,J1216-6223,*,219.688,-53.097,*,*,298.92,0.201,0.06,-16.01,-0.34,*,2001,*,*,3.52E+05,
601,J1216-6410,*,221.618,-54.452,*,*,299.096,-1.561,-0.03,-0.96,7.97,*,2004,*,*,3.47E+10,
602,J1220-6318,*,221.216,-53.508,*,*,299.444,-0.652,-0.1,-7.79,4.1,*,2001,*,*,1.56E+08,
603,J1222-5738,*,215.857,-48.919,*,*,299.102,5.02,0.12,-1.23,7.82,*,2003,*,*,1.14E+08,
604,J1224-6208,*,220.581,-52.293,*,*,299.818,0.565,0.1,-8.57,3.59,*,2001,*,*,4.60E+05,
605,B1221-63,*,222.705,-53.816,*,*,299.984,-1.415,-0.1,-3.46,6.5,XRS:[pb15],1973,HE[lsg+15],*,6.92E+05,
606,J1225-5556,*,214.826,-47.323,*,*,299.313,6.746,0.23,-1.67,7.56,*,1996,*,*,7.82E+06,
607,J1225-6035,*,219.096,-51.042,*,*,299.748,2.117,0.08,-1.9,7.41,*,2003,*,*,3.45E+07,
608,B1222-63,*,222.905,-53.729,*,*,300.131,-1.414,-0.24,-8.52,3.56,*,1978,*,*,7.03E+06,
609,J1226+00,*,185.994,2.647,*,*,289.279,62.251,1.65,-0.82,8.21,*,2019,*,*,*,
610,J1226-3223,*,199.885,-26.887,*,*,296.908,30.2,1.09,-1.67,7.65,*,2010,RRAT,*,1.39E+07,
611,J1227-4853,0.62,209.765,-41.261,*,*,298.965,13.796,0.38,-1.37,7.74,XRS:XSS_J12270-4859[rbr14]&GRS:2FGL_J122,2015,HE[pdb+15&jrr+15],*,2.41E+09,
612,J1227-6208,*,220.912,-52.123,*,*,300.082,0.591,0.1,-8.19,3.75,*,2015,*,*,2.92E+09,
613,J1227-63,*,222.01,-52.873,*,*,300.199,-0.407,-0.07,-8.13,3.77,*,2015,*,*,*,
614,J1231-1411,*,192.8,-9.944,*,*,295.531,48.385,0.31,-0.25,8.38,GRS:2FGL_J1231.2-1411[naa+12],2011,HE,*,2.56E+09,
615,J1231-4609,*,208.645,-38.589,*,*,299.379,16.573,0.69,-2.03,7.36,*,2009,*,*,3.66E+08,
616,J1231-6303,*,222.477,-52.505,*,*,300.644,-0.273,-0.04,-7.12,4.28,*,2003,*,*,1.53E+07,
617,J1232-4742,*,209.769,-39.876,*,*,299.604,15.034,0.23,-0.73,8.08,*,2001,*,*,2.12E+09,
618,J1232-6501,*,224.782,-53.905,*,*,300.911,-2.221,-0.21,-4.65,5.72,*,2001,*,*,1.73E+09,
619,J1233-6312,*,222.966,-52.453,*,*,300.915,-0.406,-0.07,-8.6,3.35,*,2003,*,*,1.29E+06,
620,J1233-6344,*,223.564,-52.854,*,*,300.968,-0.945,-0.17,-8.9,3.16,*,2003,*,*,3.09E+06,
621,J1234-3630,*,203.543,-29.891,*,*,299.071,26.231,2.53,-4.49,6,*,2018,*,*,1.04E+07,
622,J1235-02,*,189.065,1.642,*,*,295.017,60.549,1.79,-0.92,8.07,*,2019,*,*,*,
623,B1232-55,*,215.872,-45.989,*,*,300.617,7.533,0.23,-1.47,7.63,*,1978,*,*,*,
624,J1235-6354,*,224.055,-52.811,*,*,301.231,-1.088,-0.2,-8.81,3.16,*,2003,*,*,2.07E+07,
625,J1236-5033,*,212.591,-41.91,*,*,300.584,12.246,0.58,-2.31,7.13,*,2001,*,*,3.00E+07,
626,J1237-6725,*,228.263,-55.322,*,*,301.584,-4.591,-0.24,-2.58,6.91,*,2003,*,*,1.53E+07,
627,J1238+2152,*,179.61,23.785,*,*,272.789,83.962,2.54,-0.27,8.49,*,1996,*,*,1.23E+07,
628,B1237+25,1.16,178.454,26.641,*,*,252.45,86.541,0.84,-0.05,8.52,*,1969,*,*,2.28E+07,
629,J1239-48,*,211.212,-39.55,*,*,300.78,14.82,1.37,-4.44,5.85,*,2019,*,*,*,
630,B1236-68,*,229.941,-55.958,*,*,301.879,-5.693,-0.16,-1.33,7.67,*,1978,*,*,1.73E+06,
631,B1237-41,*,207.445,-33.693,*,*,300.688,21.409,0.61,-1.35,7.7,*,1978,*,*,4.67E+06,
632,J1242+39,*,170.752,39.927,*,*,130.76,77.36,24.39,4.14,12.07,*,2016,*,*,*,
633,J1243+17,*,182.501,20.616,*,*,290.63,80.536,0.4,-0.06,8.48,*,2017,*,*,*,
634,J1243-5735,*,219.174,-47.249,*,*,301.876,5.26,1.3,-11.96,1.06,*,2003,*,*,9.33E+07,
635,B1240-64,*,225.574,-52.661,*,*,302.051,-1.532,-0.05,-1.69,7.44,*,1969,*,*,1.37E+06,
636,J1244-5053,*,214.123,-41.591,*,*,301.764,11.966,0.71,-2.84,6.74,*,2001,*,*,4.36E+06,
637,J1244-6359,*,225.367,-52.254,*,*,302.204,-1.134,-0.17,-7.19,3.97,*,2015,*,*,5.30E+08,
638,J1244-6531,*,226.976,-53.428,*,*,302.227,-2.658,-0.5,-9.18,2.71,*,2009,*,*,3.41E+06,
639,J1245-6238,*,224.076,-51.168,*,*,302.233,0.215,0.04,-8.42,3.19,*,2001,*,*,3.31E+06,
640,J1246+2253,*,181.062,25.549,*,*,288.809,85.64,2.46,-0.18,8.44,*,1993,*,*,8.45E+07,
641,J1248-6344,*,225.651,-51.775,*,*,302.637,-0.866,-0.16,-9.01,2.73,*,2003,*,*,1.86E+05,
642,J1248-6444,*,226.651,-52.562,*,*,302.623,-1.863,-0.19,-5.03,5.28,*,2015,*,*,1.01E+07,
643,J1249-6507,*,227.244,-52.768,*,*,302.771,-2.251,-0.2,-4.3,5.73,*,2003,*,*,5.69E+08,
644,J1251-7407,*,238.724,-59.098,*,*,302.963,-11.249,-0.36,-1.53,7.51,*,2012,*,*,1.42E+07,
645,J1252-6314,*,225.709,-51.115,*,*,303.075,-0.371,-0.05,-6.13,4.51,*,2001,*,*,1.20E+08,
646,J1253-5820,*,221.386,-47.114,*,*,303.2,4.526,0.13,-1.37,7.6,*,1996,*,*,1.93E+06,
647,J1254-6150,*,224.638,-49.88,*,*,303.298,1.022,0.03,-1.28,7.66,*,2003,*,*,4.68E+06,
648,J1255-46,*,212.966,-36.463,*,*,303.578,16.867,0.39,-1.08,7.78,*,2015,*,*,*,
649,J1255-6131,*,224.537,-49.52,*,*,303.466,1.348,0.11,-4.02,5.84,*,2003,*,*,2.61E+06,
650,J1255-62,*,225.648,-50.586,*,*,303.373,0.068,0.02,-16.5,-2.37,*,2015,*,*,*,
651,B1254-10,0.13,197.174,-4.015,*,*,305.205,52.395,19.81,-12.46,-0.29,*,1985,*,*,2.70E+07,
652,B1256-67,*,231.257,-54.111,*,*,303.688,-4.834,-0.13,-1.3,7.63,*,1978,*,*,8.71E+06,
653,B1257+12,1.41,188.722,17.576,*,*,311.31,75.414,0.69,-0.13,8.38,XRS:[pkgw07],1990,*,*,8.62E+08,
654,J1301+0833,*,190.798,13.956,*,*,310.811,71.282,1.16,-0.3,8.24,GRS:2FGL_J1301.5+0835[naa+12]&OPT:[lht14,2012,HE,*,*,
655,J1301-6305,*,226.845,-50.374,*,*,304.1,-0.244,-0.05,-8.88,2.49,*,2001,*,*,1.10E+04,
656,J1301-6310,*,226.885,-50.462,*,*,304.064,-0.328,-0.01,-1.21,7.68,XRS:[pb15],2003,*,*,1.86E+05,
657,J1302-32,*,207.13,-23.331,*,*,305.539,30.818,0.76,-1.04,7.76,GRS:2FGL_J1302.4-3257[naa+12],2011,HE,*,*,
658,J1302-63,*,227.512,-50.876,*,*,304.107,-0.901,-0.39,-20.7,-5.52,*,1998,*,*,*,
659,J1302-6313,*,227.049,-50.442,*,*,304.157,-0.379,-0.07,-9.38,2.14,*,2003,*,*,2.42E+06,
660,B1259-63,0.38,227.698,-50.897,*,*,304.184,-0.992,-0.05,-2.18,7.02,*,1992,*,1,3.32E+05,
661,J1303+38,*,176.253,40.754,*,*,111.027,78.636,3.13,0.59,8.73,*,2019,*,*,*,
662,J1303-6305,*,227.012,-50.283,*,*,304.24,-0.241,-0.04,-8.47,2.73,*,2001,*,*,1.68E+07,
663,J1305-6203,*,226.407,-49.295,*,*,304.561,0.772,0.16,-9.55,1.92,*,2001,*,*,2.11E+05,
664,J1305-6256,*,227.233,-50.004,*,*,304.526,-0.116,-0.05,-20.6,-5.67,*,2001,*,*,3.59E+06,
665,B1302-64,*,229.115,-51.588,*,*,304.41,-2.093,-0.43,-9.81,1.78,*,1978,*,*,2.24E+06,
666,J1305-66,*,230.901,-52.923,*,*,304.338,-3.817,-0.77,-9.58,1.95,*,2013,*,*,*,
667,J1306-4035,*,212.283,-30.662,*,*,306.109,22.186,1.77,-3.52,5.94,OPT:SSS_J130656.3-403522[lin18]&XRS:3XMM,2018,*,*,*,
668,J1306-6242,*,227.192,-49.722,*,*,304.686,0.119,0.02,-9.4,2,*,2003,*,*,2.65E+06,
669,B1303-66,*,230.658,-52.578,*,*,304.462,-3.463,-0.96,-13.06,-0.46,*,1992,*,*,1.25E+06,
670,J1307-6318,*,227.917,-50.134,*,*,304.781,-0.497,-0.09,-8.85,2.35,*,2001,*,*,3.72E+06,
671,J1307-67,*,231.593,-53.109,*,*,304.518,-4.236,-0.08,-0.9,7.88,*,2011,RRAT,*,*,
672,J1308+2127,*,186.866,26.425,*,*,338.733,83.082,0,0,8.5,XRS:RX_J1308.6+2127&OPT:[kkvh11],2002,XINS&NRAD,*,1.46E+06,
673,J1308-4650,*,216.047,-36.077,*,*,306.008,15.927,0.6,-1.7,7.26,*,2009,*,*,3.19E+07,
674,J1308-5844,*,224.053,-46.353,*,*,305.13,4.062,0.46,-5.27,4.79,*,2006,*,*,8.52E+05,
675,J1309-6415,*,229.005,-50.812,*,*,304.867,-1.462,-0.31,-9.83,1.65,*,2001,*,*,1.12E+06,
676,J1309-6526,*,230.106,-51.76,*,*,304.758,-2.628,-0.52,-9.24,2.09,*,2003,*,*,3.43E+08,
677,B1309-12,*,201.307,-4.487,-1.2,*,310.723,50.095,19.18,-12.15,-1.96,*,1985,*,*,4.70E+07,
678,J1311-3430,*,210.306,-24.76,*,*,307.681,28.176,1.15,-1.7,7.19,GRS:2FGL_J1311.7-3429&OPT:[rom12],2012,HE,*,1.94E+09,
679,J1312+0051,*,196.454,7.921,*,*,314.842,63.227,1.31,-0.47,8.03,GRS:3FGL_J1311.0+0036[san16],2016,HE,*,3.82E+09,
680,B1310+18,*,189.355,23.846,*,*,332.954,79.763,20.27,-1.66,5.24,GC:M53,1991,*,*,*,
681,B1309-53,*,221.191,-42.101,*,*,305.994,8.704,0.74,-3.93,5.65,*,1978,*,*,8.06E+07,
682,B1309-55,*,222.189,-43.1,*,*,306.01,7.463,0.54,-3.36,6.06,*,1978,*,*,2.36E+06,
683,J1312-6400,*,229.161,-50.425,*,*,305.195,-1.235,-0.03,-1.25,7.62,*,2001,*,*,5.65E+07,
684,J1313+0931,*,193.163,15.986,*,*,320.366,71.657,1.03,-0.22,8.24,*,2000,*,*,1.68E+07,
685,J1314-6101,*,226.844,-47.83,*,*,305.71,1.727,0.26,-6.93,3.52,*,2003,*,*,3.99E+06,
686,J1316-6232,*,228.486,-48.919,*,*,305.848,0.191,0.08,-20.26,-6.14,*,2001,*,*,1.03E+06,
687,J1317-5759,*,224.964,-45.058,*,*,306.428,4.701,0.31,-3.02,6.27,*,2006,RRAT,*,3.33E+06,
688,J1317-6302,*,229.073,-49.274,*,*,305.908,-0.328,-0.07,-10.34,1.01,*,2001,*,*,4.04E+07,
689,B1316-60,*,227.521,-47.433,*,*,306.314,1.742,0.36,-9.54,1.49,*,1992,*,*,2.95E+06,
690,J1319-6105,*,227.654,-47.546,*,*,306.311,1.597,0.34,-9.82,1.28,*,2003,*,*,4.44E+06,
691,J1320-3512,*,212.362,-24.678,*,*,309.543,27.295,0.4,-0.6,8.01,*,1996,*,*,3.82E+09,
692,B1317-53,*,222.65,-41.396,*,*,307.305,8.637,0.33,-1.73,7.18,*,1978,*,*,4.79E+05,
693,J1320+67,*,145.471,64.119,*,*,118.741,49.395,18.98,14.27,16.32,*,2014,*,*,*,
694,J1321-5922,*,226.631,-45.963,*,*,306.778,3.265,1.42,-19.99,-6.44,*,2009,*,*,8.55E+06,
695,B1322+83,0.92,106.745,68.029,*,*,121.887,33.672,0.6,0.77,8.98,*,1982,*,*,1.87E+07,
696,J1322-62,*,229.635,-48.777,*,*,306.512,-0.197,-0.05,-12.66,-0.87,*,2013,*,*,*,
697,J1322-6241,*,229.453,-48.676,*,*,306.489,-0.041,-0.01,-9.84,1.22,*,2001,*,*,3.10E+06,
698,J1322-6329,*,230.108,-49.345,*,*,306.367,-0.828,-0.18,-9.97,1.16,*,2003,*,*,3.95E+06,
699,J1324-6146,*,228.992,-47.76,*,*,306.859,0.851,0.37,-20,-6.49,*,2003,*,*,2.40E+06,
700,J1324-6302,*,229.987,-48.848,*,*,306.638,-0.404,-0.08,-9.38,1.52,*,2003,*,*,4.02E+07,
701,B1323-58,*,227.16,-45.272,*,*,307.504,3.565,0.19,-2.38,6.68,*,1978,*,*,2.34E+06,
702,B1323-63,*,231.272,-49.613,*,*,306.748,-1.534,-0.32,-9.6,1.33,*,1978,*,*,4.06E+06,
703,B1322-66,*,233.864,-51.969,*,*,306.31,-4.369,-0.51,-5.41,4.53,*,1978,*,*,1.62E+06,
704,J1327-0755,*,203.278,1.205,*,*,318.383,53.848,20.19,-9.8,-2.53,GRS:[sbc+19],2013,HE[sbc+19],*,2.39E+10,
705,B1323-62,*,229.869,-48.105,*,*,307.074,0.204,0.01,-3.19,6.09,*,1973,*,*,4.47E+05,
706,B1323-627,*,230.383,-48.649,*,*,306.966,-0.429,-0.05,-4.97,4.76,*,1992,*,*,2.04E+06,
707,J1327-6400,*,231.235,-49.458,*,*,306.836,-1.403,-0.32,-10.39,0.71,*,2001,*,*,1.43E+05,
708,B1325-43,*,218.132,-31.973,*,*,309.874,18.415,0.45,-1.03,7.64,*,1978,*,1,2.80E+06,
709,B1325-49,*,221.141,-36.766,*,*,309.122,13.066,1.9,-6.35,3.34,*,1978,*,*,3.84E+07,
710,J1329+13,*,195.127,21.354,*,*,338.007,73.989,1.05,-0.11,8.22,*,2018,RRAT(?)[ttm+18],*,*,
711,J1329-6158,*,229.802,-47.661,*,*,307.334,0.567,0.12,-9.44,1.3,*,2003,*,*,7.32E+05,
712,J1331-5245,*,223.595,-39.59,*,*,308.985,9.649,1.5,-6.84,2.96,*,2010,*,*,2.01E+07,
713,J1332-03,*,202.557,5.751,*,*,322.25,57.909,21.18,-8.13,-2,*,2015,RRAT,*,*,
714,J1332-3032,*,212.981,-19.337,*,*,313.396,31.49,0.46,-0.55,7.98,*,1998,*,*,1.84E+07,
715,J1333-4449,*,219.646,-32.313,*,*,310.774,17.403,0.43,-1.03,7.61,*,2009,*,*,1.01E+10,
716,J1334+10,*,197.958,18.517,*,*,335.745,70.162,23.52,-3.49,0.76,*,2019,*,*,*,
717,J1334-5839,*,228.09,-44.479,*,*,308.52,3.749,0.16,-1.94,6.95,*,1996,*,*,7.90E+07,
718,J1335-3642,*,216.162,-24.778,*,*,312.713,25.332,1.06,-1.65,6.98,*,1996,*,*,*,
719,J1336-2522,*,211.664,-14.263,*,*,315.557,36.401,3.25,-3.08,5.36,*,2018,*,*,2.29E+07,
720,J1336+33,*,186.694,40.124,*,*,70.319,78.337,0.71,0.14,8.45,*,2018,RRAT(?)[ttm+18],*,*,
721,J1337-44,*,220.226,-31.961,*,*,311.408,17.402,7.48,-17.89,-7.28,*,2018,*,*,*,
722,J1337-6306,*,231.907,-48.083,*,*,308.095,-0.696,-0.16,-10.17,0.52,*,2004,*,*,9.26E+06,
723,J1337-6423,*,232.994,-49.14,*,*,307.889,-1.958,-0.2,-4.69,4.85,*,2012,*,*,6.05E+09,
724,B1334-61,*,231.2,-47.16,*,*,308.373,0.305,0.07,-9.69,0.83,*,1992,*,*,1.42E+06,
725,J1339-4712,*,222.034,-33.99,*,*,311.424,14.869,0.31,-0.88,7.73,*,2009,*,*,4.10E+09,
726,J1339-6618,*,234.986,-50.587,*,*,307.786,-3.889,-0.5,-5.78,4.02,*,2003,*,*,2.53E+07,
727,B1336-64,*,233.808,-49.46,*,*,308.047,-2.557,-0.06,-1.1,7.64,*,1978,*,*,1.19E+06,
728,J1341-6023,*,230.369,-45.542,*,*,309.035,1.889,0.24,-5.65,3.92,*,2001,*,*,5.11E+05,
729,B1338-62,*,231.925,-47.167,*,*,308.73,-0.035,-0.01,-9.83,0.62,SNR:G308.8-0.1[cks+92]&XRS:[pb15],1985,*,12,1.21E+04,
730,J1342+2822A,*,191.331,35.941,*,*,42.209,78.709,9.71,1.3,7.06,GC:M3,2007,*,*,*,
731,J1342+2822B,*,191.33,35.944,*,*,42.22,78.709,9.71,1.3,7.06,GC:M3&OPT:[cfi+19],2007,*,*,2.04E+09,
732,J1342+2822C,*,191.331,35.941,*,*,42.209,78.709,9.71,1.3,7.06,GC:M3,2007,*,*,*,
733,J1342+2822D,*,191.327,35.941,*,*,42.215,78.712,9.71,1.3,7.06,GC:M3,2007,*,*,*,
734,J1344-6059,*,231.341,-45.834,*,*,309.341,1.216,0.16,-5.73,3.8,*,2003,*,*,1.99E+08,
735,J1344+66,*,150.185,65.649,*,*,114.898,49.752,19.08,14.65,15.3,*,2018,*,*,*,
736,J1345-6115,*,231.698,-45.996,*,*,309.414,0.928,0.09,-4.29,4.97,*,2001,*,*,6.11E+06,
737,J1346-4918,*,224.319,-35.414,*,*,312.059,12.594,0.55,-1.83,6.85,*,2012,*,*,1.36E+08,
