#,NAME,PX,ELONG,ELAT,PMELONG,PMELAT,Gl,Gb,ZZ,XX,YY,ASSOC,DISC.,PSR,NGLT,AGE,
,,(mas),(deg),(deg),(mas/yr),(mas/yr),(deg),(deg),(kpc),(kpc),(kpc),,DATE,TYPE,,(Yr),
40,J0039+35,*,24.163,28.766,*,*,120.121,-27.054,-11.37,19.26,19.67,*,2019,*,*,*,
41,B0037+56,0.11,38.407,47.223,*,*,121.452,-5.567,-0.23,2.05,9.76,*,1985,*,*,6.15E+06,
42,J0045-7042,*,315.743,-63.103,*,*,303.652,-46.418,-43.25,-34.26,-14.31,EXGAL:SMC,2006,*,*,4.02E+06,
43,J0045-7319,*,310.543,-64.347,*,*,303.514,-43.804,-41.32,-35.92,-15.29,EXGAL:SMC,1991,*,*,3.29E+06,
44,B0045+33,*,25.357,26.522,*,*,122.255,-28.666,-2.16,3.34,10.61,*,1985,*,*,8.19E+06,
45,J0050+03,*,13.097,-1.488,*,*,122.485,-59.071,-21.45,10.84,15.4,*,2016,*,*,*,
46,J0051+0423,*,13.548,-1.049,*,*,122.962,-58.491,-1.07,0.55,8.86,*,1997,*,*,8.03E+08,
47,J0054+66,*,48.72,53.168,*,*,123.193,3.13,0.05,0.75,8.99,*,2008,RRAT,*,*,
48,J0054+69,*,52.708,55.701,*,*,123.2,6.563,0.27,1.95,9.78,*,2015,RRAT,*,*,
49,J0054+6946,*,53.18,55.915,*,*,123.241,6.902,0.33,2.29,10,*,2014,*,*,1.83E+07,
50,B0052+51,0.35,36.469,40.996,*,*,123.621,-11.576,-0.57,2.33,10.05,*,1985,*,*,3.51E+06,
51,B0053+47,*,34.413,38.038,*,*,123.796,-14.927,-0.29,0.9,9.1,*,1985,*,*,2.25E+06,
52,J0057-7201,*,314.163,-64.594,*,*,302.244,-45.098,-2.46,-2.08,7.19,*,2001,*,*,1.17E+08,
53,J0058+4950,*,35.941,39.552,*,*,124.045,-13.017,-0.6,2.14,9.95,*,2014,*,*,1.96E+07,
54,J0058+6125,*,44.752,49.289,*,*,123.717,-1.445,-0.07,2.17,9.95,*,2008,*,*,*,
55,J0059+69,*,53.861,55.754,*,*,123.629,7.056,0.25,1.69,9.63,*,2019,*,*,*,
56,J0100-7211,*,314.036,-64.874,*,*,301.93,-44.918,-42.15,-35.88,-13.86,EXGAL:SMC&XRS:CXOU_J010043.1-721134,2002,AXP&NRAD,*,6.76E+03,
57,J0100+80,*,69.497,62.527,*,*,123.321,17.502,0.85,2.25,9.98,*,2019,*,*,*,
58,J0101-6422,*,328.666,-60.765,*,*,301.192,-52.72,-0.8,-0.52,8.19,GRS:2FGL_J0101.2-6425[naa+12]&XRS:[pb15],2012,HE,*,7.90E+09,
59,J0102+4839,*,35.67,37.559,*,*,124.932,-14.827,-0.61,1.89,9.82,GRS:2FGL_J0102.9+4838[naa+12],2011,HE,*,*,
60,B0059+65,0.4,49.438,52.318,*,*,124.08,2.773,0.12,2.07,9.9,*,1982,*,*,4.47E+06,
61,J0103+54,*,39.74,42.731,*,*,124.741,-8.796,-0.31,1.63,9.63,*,2015,RRAT,*,*,
62,J0106+4855,*,36.867,38.1,*,*,125.465,-13.867,-0.73,2.42,10.22,GRS:2FGL_J0106.5+4854[naa+12],2012,HE,*,3.08E+06,
63,J0107+13,*,20.703,5.763,*,*,128.961,-49.266,-1.84,1.23,9.5,*,2019,*,*,*,
64,J0108-1431,4.2,9.831,-20.06,*,*,140.93,-76.815,-0.2,0.03,8.54,*,1994,*,*,1.66E+08,
65,B0105+65,0.47,50.732,52.354,*,*,124.646,3.328,0.12,1.75,9.71,*,1972,*,*,1.56E+06,
66,B0105+68,*,53.924,54.619,*,*,124.461,6.277,0.22,1.62,9.61,*,1985,*,*,3.53E+08,
67,J0111+6624,*,51.383,52.371,*,*,124.928,3.609,0.15,1.97,9.88,*,2014,*,*,8.15E+06,
